soil_moisture,temperature_c,sunlight_hours,needs_water
0.37,32,2,1
0.86,29,5,0
0.67,33,4,0
0.56,25,11,0
0.18,34,2,1
0.18,22,3,1
0.1,33,7,1
0.79,23,8,0
0.56,25,12,0
0.65,35,6,0
0.07,29,11,1
0.87,32,5,0
0.76,26,1,0
0.23,30,8,1
0.2,32,3,1
0.21,27,6,1
0.31,33,3,1
0.5,24,7,0
0.42,34,7,1
0.3,24,12,1
0.57,31,9,0
0.17,32,5,1
0.3,24,8,1
0.36,26,10,1
0.44,33,10,1
0.72,25,8,0
0.22,35,1,1
0.49,35,12,1
0.55,24,5,0
0.09,20,3,1
0.57,35,1,0
0.19,27,4,1
0.11,24,8,1
0.86,34,3,0
0.87,31,10,0
0.74,20,2,0
0.31,29,11,1
0.13,30,9,1
0.63,19,10,0
0.42,20,5,0
0.15,22,7,1
0.47,28,11,1
0.08,25,11,1
0.82,29,2,0
0.27,24,9,1
0.61,32,9,0
0.31,34,4,1
0.49,21,4,0
0.51,30,6,0
0.21,35,10,1
0.87,18,10,0
0.71,33,10,0
0.85,30,6,0
0.81,27,12,0
0.56,29,1,0
0.83,19,9,0
0.13,20,2,1
0.22,27,5,1
0.09,19,9,1
0.33,30,4,1
0.38,30,11,1
0.28,35,3,1
0.75,20,7,0
0.35,24,6,0
0.29,31,8,1
0.51,34,3,0
0.17,29,5,1
0.73,33,10,0
0.11,29,4,1
0.89,32,4,0
0.71,27,4,0
0.22,24,10,1
0.05,22,8,1
0.74,18,6,0
0.65,34,3,0
0.67,20,10,0
0.71,30,5,0
0.11,31,6,1
0.35,35,5,1
0.15,21,6,1
0.78,35,8,0
0.58,22,7,0
0.33,33,5,1
0.1,18,10,1
0.31,31,6,1
0.33,32,4,1
0.67,26,12,0
0.59,32,9,0
0.8,34,4,0
0.45,21,1,0
0.15,29,7,1
0.66,22,7,0
0.7,22,4,0
0.53,28,3,0
0.71,23,8,0
0.47,24,5,0
0.49,31,10,1
0.41,28,7,1
0.07,30,4,1
0.14,19,4,1
0.08,24,8,1
0.59,21,8,0
0.32,25,2,0
0.48,30,2,0
0.82,31,3,0
0.26,27,12,1
0.4,28,12,1
0.69,19,3,0
0.24,26,1,1
0.12,34,3,1
0.3,20,6,0
0.19,23,8,1
0.84,22,12,0
0.74,22,10,0
0.59,32,6,0
0.79,34,5,0
0.73,26,4,0
0.21,20,3,0
0.81,34,4,0
0.51,27,7,0
0.74,20,1,0
0.81,35,7,0
0.32,35,1,1
0.14,34,2,1
0.24,20,4,0
0.41,20,1,0
0.75,23,11,0
0.78,30,12,0
0.06,32,11,1
0.48,26,11,0
0.4,21,9,0
0.24,31,12,1
0.15,22,6,1
0.34,19,1,0
0.85,28,1,0
0.32,26,6,1
0.49,20,4,0
0.65,26,4,0
0.36,20,11,0
0.88,19,6,0
0.87,29,12,0
0.26,27,11,1
0.47,26,7,0
0.31,32,9,1
0.29,25,10,1
0.08,22,5,1
0.57,28,9,0
0.48,19,4,0
0.09,32,10,1
0.29,23,2,0
0.82,25,3,0
0.25,22,11,1
0.17,33,1,1
0.47,35,6,1
0.89,23,6,0
0.26,22,1,0
0.62,33,11,1
0.7,30,3,0
0.25,22,5,1
0.67,30,3,0
0.36,34,10,1
0.59,35,3,0
0.59,25,10,0
0.51,30,3,0
0.13,20,5,1
0.76,25,5,0
0.32,19,4,0
0.21,25,1,1
0.08,30,5,1
0.55,30,10,0
0.63,18,5,0
0.06,23,4,1
0.49,33,6,1
